,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory
837,0.28206372261047363,279,2,0.1,221,200,1000,1,1,10,6506.393,7268.8,762.407,2694.5,9963.3,7268.8,829.4,90.11,919.51,0.7702752621788561%,54.299%,54.299%,100.0%,0.0%,0.756700601545372%,55.656%,55.656%,100.0%,0.0%,zeros,local-local,1,0.1
834,0.44610095024108887,278,2,0.1,220,200,1000,1,1,14,6426.381,10716.0,4289.619,2959.7,13675.7,10716.0,1147.3,119.2,1266.5,0.8268980511545863%,48.636%,48.636%,100.0%,0.0%,0.849625323881859%,46.364%,46.364%,100.0%,0.0%,zeros,local-local,1,0.1
830,0.5871329307556152,277,1,0.1,220,200,1000,1,1,20,6426.381,13080.0,6653.619,2836.6,15916.6,13080.0,1250.7,182.84,1433.54,0.8268980511545864%,48.636%,48.636%,100.0%,0.0%,0.7905344147909499%,52.273%,52.273%,100.0%,0.0%,zeros,local-local,1,0.1
835,0.4450998306274414,279,0,0.1,221,200,1000,1,1,15,6506.393,14455.6,7949.207,2728.0,17183.6,14455.6,1284.8,127.63,1412.43,0.8562481128575892%,45.701%,45.701%,100.0%,0.0%,0.8788725472467295%,43.439%,43.439%,100.0%,0.0%,zeros,local-local,1,0.1
833,0.5781300067901611,278,1,0.1,220,200,1000,1,1,20,6426.381,13080.0,6653.619,2836.6,15916.6,13080.0,1250.7,182.84,1433.54,0.8268980511545864%,48.636%,48.636%,100.0%,0.0%,0.7905344147909499%,52.273%,52.273%,100.0%,0.0%,zeros,local-local,1,0.1
838,0.33307337760925293,280,0,0.1,222,200,1000,1,1,10,6587.405,10278.4,3690.995,2905.2,13183.6,10278.4,975.7,90.28,1065.98,0.8357842100407452%,47.748%,47.748%,100.0%,0.0%,0.8447932190497542%,46.847%,46.847%,100.0%,0.0%,zeros,local-local,1,0.1
840,0.4050915241241455,280,2,0.1,222,200,1000,1,1,14,6587.405,14938.0,8350.595,3329.5,18267.5,14938.0,1328.8,124.92,1453.72,0.7727211469776822%,54.054%,54.054%,100.0%,0.0%,0.8042526785092137%,50.901%,50.901%,100.0%,0.0%,zeros,local-local,1,0.1
843,0.361081600189209,281,2,0.1,223,200,1000,1,1,12,6669.434,13896.0,7226.566,2649.6,16545.6,13896.0,1087.9,105.08,1192.98,0.8289567547827966%,48.43%,48.43%,100.0%,0.0%,0.8693154991774155%,44.395%,44.395%,100.0%,0.0%,zeros,local-local,1,0.1
841,0.44009923934936523,281,0,0.1,223,200,1000,1,1,15,6669.434,12454.2,5784.766,4503.2,16957.4,12454.2,1259.5,129.63,1389.13,0.811019535051855%,50.224%,50.224%,100.0%,0.0%,0.8603468893119446%,45.291%,45.291%,100.0%,0.0%,zeros,local-local,1,0.1
846,0.39508914947509766,282,2,0.1,224,200,1000,1,1,14,6752.495,9316.2,2563.705,3460.6,12776.8,9316.2,1057.1,122.06,1179.16,0.7730831160896513%,54.018%,54.018%,100.0%,0.0%,0.8846902589467943%,42.857%,42.857%,100.0%,0.0%,zeros,local-local,1,0.1
844,0.5111148357391357,282,0,0.1,224,200,1000,1,1,17,6752.495,12562.4,5809.905,3068.5,15630.9,12562.4,1134.1,139.94,1274.04,0.8445116875182227%,46.875%,46.875%,100.0%,0.0%,0.808797401803937%,50.446%,50.446%,100.0%,0.0%,zeros,local-local,1,0.1
842,0.5701279640197754,281,1,0.1,223,200,1000,1,1,19,6669.434,12175.8,5506.366,3619.1,15794.9,12175.8,1261.7,167.1,1428.8,0.8155038399845904%,49.776%,49.776%,100.0%,0.0%,0.7930823153209132%,52.018%,52.018%,100.0%,0.0%,zeros,local-local,1,0.1
839,0.6411445140838623,280,1,0.1,222,200,1000,1,1,22,6587.405,9569.8,2982.395,2815.6,12385.4,9569.8,1192.4,204.96,1397.36,0.8042526785092137%,50.901%,50.901%,100.0%,0.0%,0.7862346604911957%,52.703%,52.703%,100.0%,0.0%,zeros,local-local,1,0.1
847,0.49111032485961914,283,0,0.1,224,200,1000,1,1,17,6752.495,12562.4,5809.905,3068.5,15630.9,12562.4,1134.1,139.94,1274.04,0.8445116875182227%,46.875%,46.875%,100.0%,0.0%,0.808797401803937%,50.446%,50.446%,100.0%,0.0%,zeros,local-local,1,0.1
845,0.6671504974365234,282,1,0.1,224,200,1000,1,1,26,6752.495,15869.6,9117.105,3393.0,19262.6,15869.6,1681.9,221.4,1903.3,0.7954045446610799%,51.786%,51.786%,100.0%,0.0%,0.8489759732325085%,46.429%,46.429%,100.0%,0.0%,zeros,local-local,1,0.1
851,0.29506635665893555,284,1,0.1,225,200,1000,1,1,9,6836.608,6712.2,-124.408,3379.0,10091.2,6712.2,767.8,87.57,855.37,0.8332616875182227%,48.0%,48.0%,100.0%,0.0%,0.7843727986293338%,52.889%,52.889%,100.0%,0.0%,zeros,local-local,1,0.1
849,0.44209980964660645,283,2,0.1,224,200,1000,1,1,14,6752.495,9316.2,2563.705,3460.6,12776.8,9316.2,1057.1,122.06,1179.16,0.7730831160896513%,54.018%,54.018%,100.0%,0.0%,0.8846902589467943%,42.857%,42.857%,100.0%,0.0%,zeros,local-local,1,0.1
850,0.41709470748901367,284,0,0.1,225,200,1000,1,1,13,6836.608,10811.0,3974.392,2386.8,13197.8,10811.0,995.5,119.14,1114.64,0.8332616875182227%,48.0%,48.0%,100.0%,0.0%,0.8821505764071117%,43.111%,43.111%,100.0%,0.0%,zeros,local-local,1,0.1
852,0.4280965328216553,284,2,0.1,225,200,1000,1,1,13,6836.608,10052.0,3215.392,3402.0,13454.0,10052.0,1065.9,112.77,1178.67,0.7710394652960005%,54.222%,54.222%,100.0%,0.0%,0.8065950208515561%,50.667%,50.667%,100.0%,0.0%,zeros,local-local,1,0.1
848,0.7351655960083008,283,1,0.1,224,200,1000,1,1,26,6752.495,15869.6,9117.105,3393.0,19262.6,15869.6,1681.9,221.4,1903.3,0.7954045446610799%,51.786%,51.786%,100.0%,0.0%,0.8489759732325085%,46.429%,46.429%,100.0%,0.0%,zeros,local-local,1,0.1
856,0.41309356689453125,286,0,0.1,227,200,1000,1,1,13,7008.057,9165.4,2157.343,3423.1,12588.5,9165.4,979.0,117.68,1096.68,0.8463013350953152%,46.696%,46.696%,100.0%,0.0%,0.8066537580028041%,50.661%,50.661%,100.0%,0.0%,zeros,local-local,1,0.1
855,0.43109703063964844,285,2,0.1,226,200,1000,1,1,14,6921.789,10915.8,3994.011,3619.8,14535.6,10915.8,1115.4,123.86,1239.26,0.782288236190789%,53.097%,53.097%,100.0%,0.0%,0.8398103600845944%,47.345%,47.345%,100.0%,0.0%,zeros,local-local,1,0.1
859,0.4070916175842285,287,0,0.1,228,200,1000,1,1,15,7095.431,9308.2,2212.769,3472.4,12780.6,9308.2,910.8,138.17,1048.97,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7650160734831349%,54.825%,54.825%,100.0%,0.0%,zeros,local-local,1,0.1
853,0.7121603488922119,285,0,0.1,226,200,1000,1,1,25,6921.789,11561.8,4640.011,3551.6,15113.4,11561.8,1410.2,217.22,1627.42,0.786713014951851%,52.655%,52.655%,100.0%,0.0%,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,zeros,local-local,1,0.1
854,0.7631716728210449,285,1,0.1,226,200,1000,1,1,26,6921.789,10163.4,3241.611,3183.8,13347.2,10163.4,1315.6,226.88,1542.48,0.8796333689341519%,43.363%,43.363%,100.0%,0.0%,0.782288236190789%,53.097%,53.097%,100.0%,0.0%,zeros,local-local,1,0.1
857,0.5711297988891602,286,1,0.1,227,200,1000,1,1,19,7008.057,9905.0,2896.943,2729.1,12634.1,9905.0,1156.1,166.23,1322.33,0.7846273262847424%,52.863%,52.863%,100.0%,0.0%,0.7890326126283548%,52.423%,52.423%,100.0%,0.0%,zeros,local-local,1,0.1
860,0.40809178352355957,287,1,0.1,228,200,1000,1,1,14,7095.431,11695.8,4600.369,2953.4,14649.2,11695.8,1124.2,121.92,1246.12,0.8439634419041876%,46.93%,46.93%,100.0%,0.0%,0.8571213366410299%,45.614%,45.614%,100.0%,0.0%,zeros,local-local,1,0.1
858,0.5561256408691406,286,2,0.1,227,200,1000,1,1,20,7008.057,10706.6,3698.543,3474.8,14181.4,10706.6,1236.4,168.34,1404.74,0.8639224804697646%,44.934%,44.934%,100.0%,0.0%,0.8154643306900288%,49.78%,49.78%,100.0%,0.0%,zeros,local-local,1,0.1
863,0.43309712409973145,288,1,0.1,228,200,1000,1,1,14,7095.431,11695.8,4600.369,2953.4,14649.2,11695.8,1124.2,121.92,1246.12,0.8439634419041876%,46.93%,46.93%,100.0%,0.0%,0.8571213366410299%,45.614%,45.614%,100.0%,0.0%,zeros,local-local,1,0.1
862,0.4681053161621094,288,0,0.1,228,200,1000,1,1,15,7095.431,9308.2,2212.769,3472.4,12780.6,9308.2,910.8,138.17,1048.97,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7650160734831349%,54.825%,54.825%,100.0%,0.0%,zeros,local-local,1,0.1
861,0.5341198444366455,287,2,0.1,228,200,1000,1,1,20,7095.431,12130.2,5034.769,3297.4,15427.6,12130.2,1322.2,174.9,1497.1,0.8264195822550647%,48.684%,48.684%,100.0%,0.0%,0.8615073015533103%,45.175%,45.175%,100.0%,0.0%,zeros,local-local,1,0.1
866,0.31507062911987305,289,1,0.1,229,200,1000,1,1,10,7183.929,9163.0,1979.071,3143.9,12306.9,9163.0,910.8,87.82,998.62,0.780510595815166%,53.275%,53.275%,100.0%,0.0%,0.7936110324963886%,51.965%,51.965%,100.0%,0.0%,zeros,local-local,1,0.1
868,0.3740842342376709,290,0,0.1,230,200,1000,1,1,13,7273.572,9523.8,2250.228,3702.6,13226.4,9523.8,1036.2,110.82,1147.02,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.8610877744747444%,45.217%,45.217%,100.0%,0.0%,zeros,local-local,1,0.1
869,0.3720836639404297,290,1,0.1,230,200,1000,1,1,12,7273.572,10385.4,3111.828,3688.0,14073.4,10385.4,1081.3,103.57,1184.87,0.7915225570834401%,52.174%,52.174%,100.0%,0.0%,0.8002182092573531%,51.304%,51.304%,100.0%,0.0%,zeros,local-local,1,0.1
867,0.3920881748199463,289,2,0.1,229,200,1000,1,1,14,7183.929,9043.2,1859.271,3660.0,12703.2,9043.2,1014.2,129.12,1143.32,0.7412092857714978%,57.205%,57.205%,100.0%,0.0%,0.8198119058588341%,49.345%,49.345%,100.0%,0.0%,zeros,local-local,1,0.1
865,0.5411219596862793,289,0,0.1,229,200,1000,1,1,17,7183.929,15831.2,8647.271,3637.7,19468.9,15831.2,1455.3,146.46,1601.76,0.7936110324963886%,51.965%,51.965%,100.0%,0.0%,0.854746403675428%,45.852%,45.852%,100.0%,0.0%,zeros,local-local,1,0.1
864,0.6161389350891113,288,2,0.1,228,200,1000,1,1,20,7095.431,12130.2,5034.769,3297.4,15427.6,12130.2,1322.2,174.9,1497.1,0.8264195822550647%,48.684%,48.684%,100.0%,0.0%,0.8615073015533103%,45.175%,45.175%,100.0%,0.0%,zeros,local-local,1,0.1
870,0.3200721740722656,290,2,0.1,230,200,1000,1,1,9,7273.572,6722.2,-551.372,3825.0,10547.2,6722.2,748.0,86.14,834.14,0.8393486440399618%,47.391%,47.391%,100.0%,0.0%,0.8089138614312661%,50.435%,50.435%,100.0%,0.0%,zeros,local-local,1,0.1
871,0.39308834075927734,291,0,0.1,231,200,1000,1,1,13,7364.38,11639.0,4274.62,3023.6,14662.6,11639.0,1140.7,114.87,1255.57,0.8067681810247161%,50.649%,50.649%,100.0%,0.0%,0.8500582243147594%,46.32%,46.32%,100.0%,0.0%,zeros,local-local,1,0.1
873,0.3920881748199463,291,2,0.1,231,200,1000,1,1,12,7364.38,9748.8,2384.42,4093.7,13842.5,9748.8,993.3,104.97,1098.27,0.7981101723667074%,51.515%,51.515%,100.0%,0.0%,0.8370712113277464%,47.619%,47.619%,100.0%,0.0%,zeros,local-local,1,0.1
874,0.3010683059692383,292,0,0.1,232,200,1000,1,1,9,7456.373,7581.6,125.227,3276.8,10858.4,7581.6,751.3,83.29,834.59,0.83912375648374%,47.414%,47.414%,100.0%,0.0%,0.8003306530354641%,51.293%,51.293%,100.0%,0.0%,zeros,local-local,1,0.1
872,0.502112865447998,291,1,0.1,231,200,1000,1,1,15,7364.38,12721.0,5356.62,3725.5,16446.5,12721.0,1207.8,120.8,1328.6,0.8110971853537204%,50.216%,50.216%,100.0%,0.0%,0.9063352805918157%,40.693%,40.693%,100.0%,0.0%,zeros,local-local,1,0.1
877,0.31707119941711426,293,0,0.1,232,200,1000,1,1,9,7456.373,7581.6,125.227,3276.8,10858.4,7581.6,751.3,83.29,834.59,0.83912375648374%,47.414%,47.414%,100.0%,0.0%,0.8003306530354641%,51.293%,51.293%,100.0%,0.0%,zeros,local-local,1,0.1
875,0.45510339736938477,292,1,0.1,232,200,1000,1,1,14,7456.373,10702.2,3245.827,2963.3,13665.5,10702.2,1016.4,124.67,1141.07,0.8908478944147745%,42.241%,42.241%,100.0%,0.0%,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%,zeros,local-local,1,0.1
876,0.5381209850311279,292,2,0.1,232,200,1000,1,1,19,7456.373,14573.4,7117.027,3015.7,17589.1,14573.4,1263.9,163.88,1427.78,0.8003306530354641%,51.293%,51.293%,100.0%,0.0%,0.7787789288975331%,53.448%,53.448%,100.0%,0.0%,zeros,local-local,1,0.1
