,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (plus before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
4422,53.80910801887512,492,3,0.1,391,200,1000,1,1,False,304528.23,70915.8,-233612.43,2158.0,73073.8,39960.0,0.0,0.0,39960.0,0.5274797802050559%,92.583%,92.857%,93.301%,91.758%,0.7374983270925274%,52.941%,52.688%,50.515%,55.33%,zeros,local-global,optimal,1,0.003034329629809476,0.002,3,0.004403403403403405
4426,49.964242935180664,492,7,0.1,391,200,1000,1,1,False,304528.23,73706.2,-230822.03,1808.6,75514.8,39960.0,0.0,0.0,39960.0,0.5780589369423792%,88.235%,87.151%,87.151%,89.151%,0.7392415575207011%,50.895%,53.0%,51.961%,49.733%,zeros,local-global,optimal,1,0.003034329629809476,0.002,3,0.0009539539539539539
4434,24.407493352890015,493,6,0.1,392,200,1000,1,1,465,343909.399,30435.6,-313473.799,0.0,30435.6,18520.0,0.0,0.0,18520.0,0.6931471805599452%,47.704%,0%,0.0%,100.0%,0.6931471805599452%,52.296%,0%,0.0%,100.0%,zeros,local-global,optimal,1,0.00303045700891707,0.002,3,0.0006997840172786175
4428,50.165287494659424,492,9,0.1,391,200,1000,1,1,False,304528.23,73253.8,-231274.43,1656.2,74910.0,39960.0,0.0,0.0,39960.0,0.5719722732773108%,88.747%,88.333%,87.363%,89.952%,0.8032801353834472%,43.99%,39.583%,42.458%,45.283%,zeros,local-global,optimal,1,0.003034329629809476,0.002,3,0.014551551551551552
4427,51.12650394439697,492,8,0.1,391,200,1000,1,1,False,304528.23,74128.2,-230400.03,763.6,74891.8,39960.0,0.0,0.0,39960.0,0.5826169308866433%,84.655%,83.838%,85.567%,83.756%,0.7718179420218765%,46.803%,44.633%,41.799%,51.485%,zeros,local-global,optimal,1,0.003034329629809476,0.002,3,-0.00026126126126126137
4430,47.85676884651184,493,2,0.1,392,200,1000,1,1,967,343909.399,61462.2,-282447.199,0.0,61462.2,38600.0,0.0,0.0,38600.0,0.6931471805599452%,53.827%,0%,0.0%,100.0%,0.6931471805599452%,46.939%,0%,0.0%,100.0%,zeros,local-global,optimal,1,0.00303045700891707,0.002,3,0.0016694300518134712
4429,50.643397092819214,493,1,0.1,392,200,1000,1,1,False,343909.399,72862.0,-271047.399,1760.6,74622.6,39960.0,0.0,0.0,39960.0,0.5396884075196303%,91.327%,90.521%,93.171%,89.305%,0.7650901443740128%,51.531%,47.09%,49.721%,53.052%,zeros,local-global,optimal,1,0.00303045700891707,0.002,3,0.0012162162162162164
4431,51.32354927062988,493,3,0.1,392,200,1000,1,1,False,343909.399,76576.2,-267333.199,646.6,77222.8,39960.0,0.0,0.0,39960.0,0.5595834456074295%,85.969%,88.06%,85.096%,86.957%,0.7402924733491412%,53.571%,51.913%,50.265%,56.65%,zeros,local-global,optimal,1,0.00303045700891707,0.002,3,-0.002286286286286286
4432,50.415345668792725,493,4,0.1,392,200,1000,1,1,False,343909.399,74885.8,-269023.599,1098.2,75984.0,39960.0,0.0,0.0,39960.0,0.583768287515167%,82.908%,82.927%,84.158%,81.579%,0.7384114367676115%,51.531%,53.398%,53.922%,48.936%,zeros,local-global,optimal,1,0.00303045700891707,0.002,3,0.0015895895895895894
4433,52.13473105430603,493,5,0.1,392,200,1000,1,1,False,343909.399,76989.6,-266919.799,483.4,77473.0,39960.0,0.0,0.0,39960.0,0.6075968628945239%,80.612%,77.83%,85.052%,76.263%,0.7648335817852592%,46.429%,46.739%,43.434%,49.485%,zeros,local-global,optimal,1,0.00303045700891707,0.002,3,-0.0011871871871871871
4435,49.40511703491211,493,7,0.1,392,200,1000,1,1,False,343909.399,75061.0,-268848.399,1182.2,76243.2,39960.0,0.0,0.0,39960.0,0.5867752783913377%,85.969%,83.505%,87.568%,84.541%,0.74493854369746%,45.663%,51.546%,45.662%,45.665%,zeros,local-global,optimal,1,0.00303045700891707,0.002,3,0.0006206206206206204
