,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
7381,0.30206823348999023,38,18,0.5,100,100,5000,1,1,20,1772.454,2689.0,916.546,0.0,2689.0,194.0,652.6,846.6,0.6931471805599453%,39.0%,0%,0.0%,100.0%,0.6931471805599453%,53.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.9010989010989011
7386,0.19204330444335938,38,23,0.5,100,100,5000,1,1,12,1772.454,2233.0,460.546,0.0,2233.0,185.0,352.1,537.1,0.6931471805599453%,47.0%,0%,0.0%,100.0%,0.6931471805599453%,47.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.08
7387,0.20804643630981445,38,24,0.5,100,100,5000,1,1,13,1772.454,2440.0,667.546,0.0,2440.0,198.5,403.1,601.6,0.6931471805599453%,45.0%,0%,0.0%,100.0%,0.6931471805599453%,51.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.18681318681318682
7389,0.15703511238098145,38,26,0.5,100,100,5000,1,1,9,1772.454,1972.0,199.546,0.0,1972.0,181.0,238.7,419.7,0.6931471805599453%,53.0%,0%,0.0%,100.0%,0.6931471805599453%,50.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.2127659574468085
7391,0.17003750801086426,38,28,0.5,100,100,5000,1,1,10,1772.454,1918.0,145.546,0.0,1918.0,172.0,267.6,439.6,0.6931471805599453%,58.0%,0%,0.0%,100.0%,0.6931471805599453%,49.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.16
7392,0.1580369472503662,38,29,0.5,100,100,5000,1,1,9,1772.454,1837.0,64.546,0.0,1837.0,164.5,228.8,393.3,0.6931471805599453%,44.0%,0%,0.0%,100.0%,0.6931471805599453%,49.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.19
7393,0.16803789138793945,38,30,0.5,100,100,5000,1,1,10,1772.454,1969.0,196.546,0.0,1969.0,178.5,276.0,454.5,0.6931471805599453%,50.0%,0%,0.0%,100.0%,0.6931471805599453%,60.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.8064516129032258
7388,0.2450554370880127,38,25,0.5,100,100,5000,1,1,15,1772.454,2197.0,424.546,0.0,2197.0,170.0,416.7,586.7,0.6931471805599453%,53.0%,0%,0.0%,100.0%,0.6931471805599453%,45.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.2988505747126437
7390,0.2270514965057373,38,27,0.5,100,100,5000,1,1,14,1772.454,2419.0,646.546,0.0,2419.0,200.0,442.1,642.1,0.6931471805599453%,49.0%,0%,0.0%,100.0%,0.6931471805599453%,55.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.06
7394,0.19004249572753906,38,31,0.5,100,100,5000,1,1,12,1772.454,2126.0,353.546,0.0,2126.0,177.5,337.4,514.9,0.6931471805599453%,50.0%,0%,0.0%,100.0%,0.6931471805599453%,52.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.56
7396,0.18404150009155273,38,33,0.5,100,100,5000,1,1,11,1772.454,1986.0,213.546,0.0,1986.0,176.0,305.2,481.2,0.6931471805599453%,53.0%,0%,0.0%,100.0%,0.6931471805599453%,43.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.17391304347826086
7399,0.16803765296936035,38,36,0.5,100,100,5000,1,1,10,1772.454,2053.0,280.546,0.0,2053.0,178.0,266.5,444.5,0.6931471805599453%,62.0%,0%,0.0%,100.0%,0.6931471805599453%,52.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,1.29
7395,0.24205446243286133,38,32,0.5,100,100,5000,1,1,15,1772.454,2616.0,843.546,0.0,2616.0,206.0,484.8,690.8,0.6931471805599453%,42.0%,0%,0.0%,100.0%,0.6931471805599453%,50.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.4444444444444444
7401,0.16103625297546387,38,38,0.5,100,100,5000,1,1,9,1772.454,1878.0,105.546,0.0,1878.0,176.0,231.3,407.3,0.6931471805599453%,58.0%,0%,0.0%,100.0%,0.6931471805599453%,52.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.46
7398,0.21004843711853027,38,35,0.5,100,100,5000,1,1,13,1772.454,2443.0,670.546,0.0,2443.0,198.0,392.2,590.2,0.6931471805599453%,51.0%,0%,0.0%,100.0%,0.6931471805599453%,47.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.29545454545454547
7397,0.2610595226287842,38,34,0.5,100,100,5000,1,1,17,1772.454,2963.0,1190.546,0.0,2963.0,225.0,570.2,795.2,0.6931471805599453%,53.0%,0%,0.0%,100.0%,0.6931471805599453%,50.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.86
7400,0.26205897331237793,38,37,0.5,100,100,5000,1,1,18,1772.454,2517.0,744.546,0.0,2517.0,189.5,540.6,730.1,0.6931471805599453%,57.0%,0%,0.0%,100.0%,0.6931471805599453%,52.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.18681318681318682
7402,0.25505828857421875,38,39,0.5,100,100,5000,1,1,16,1772.454,2822.0,1049.546,0.0,2822.0,216.0,534.0,750.0,0.6931471805599453%,54.0%,0%,0.0%,100.0%,0.6931471805599453%,56.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.28
7404,0.14803314208984375,38,41,0.5,100,100,5000,1,1,8,1772.454,1740.0,-32.454,0.0,1740.0,163.5,200.8,364.3,0.6931471805599453%,58.0%,0%,0.0%,100.0%,0.6931471805599453%,45.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.37
7406,0.16203641891479492,38,43,0.5,100,100,5000,1,1,10,1772.454,2022.0,249.546,0.0,2022.0,181.0,274.3,455.3,0.6931471805599453%,52.0%,0%,0.0%,100.0%,0.6931471805599453%,50.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.77
7405,0.18404221534729004,38,42,0.5,100,100,5000,1,1,11,1772.454,2187.0,414.546,0.0,2187.0,188.5,319.7,508.2,0.6931471805599453%,46.0%,0%,0.0%,100.0%,0.6931471805599453%,46.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.01
7407,0.1670370101928711,38,44,0.5,100,100,5000,1,1,10,1772.454,1981.0,208.546,0.0,1981.0,177.5,272.5,450.0,0.6931471805599453%,55.0%,0%,0.0%,100.0%,0.6931471805599453%,45.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.7701149425287356
