,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size,number of memory types
385,0.4791083335876465,77,4,1,250,250,1000,1,1,12,7006.239,16848.851,9842.612,0.0,16848.851,7189.576,16452.655,11.962000489234924,23642.231,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,30.707303030303034,1,0.3793773435003555,0.002,3,-0.030958042837209532,2
384,0.6711528301239014,77,3,1,250,250,1000,1,1,17,7006.239,19808.037,12801.798,0.0,19808.037,8243.26,15615.491,14.906419642670489,23858.751,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,30.707303030303034,1,0.3793773435003555,0.002,3,0.11538450284576027,2
386,0.4541015625,78,0,1,250,250,1000,1,1,12,7006.239,16259.695,9253.456,0.0,16259.695,6938.849,15167.723,14.966000437736511,22106.572,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,31.111333333333338,1,0.3793773435003555,0.002,3,-0.2653977721743631,2
382,0.8141844272613525,77,1,1,250,250,1000,1,1,21,7006.239,22719.806,15713.567,0.0,22719.806,8868.521,20434.198,9.896253044641096,29302.719,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,30.707303030303034,1,0.3793773435003555,0.002,3,0.25134717567676823,2
388,0.4501018524169922,78,2,1,250,250,1000,1,1,12,7006.239,15693.125,8686.886,0.0,15693.125,6411.007,13959.873,7.952044616847999,20370.88,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,31.111333333333338,1,0.3793773435003555,0.002,3,-0.4122943221440829,2
390,0.4591038227081299,78,4,1,250,250,1000,1,1,12,7006.239,16718.157,9711.918,0.0,16718.157,7100.649,15912.213,12.962000489234924,23012.862,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,31.111333333333338,1,0.3793773435003555,0.002,3,-0.03227415509080639,2
391,0.44610071182250977,79,0,1,250,250,1000,1,1,12,7006.239,16259.695,9253.456,0.0,16259.695,6938.849,15167.723,14.966000437736511,22106.572,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,31.51536363636364,1,0.3793773435003555,0.002,3,-0.2653977721743631,2
389,0.6961560249328613,78,3,1,250,250,1000,1,1,18,7006.239,20392.458,13386.219,0.0,20392.458,7344.651,25846.036,11.96000051498413,33190.687,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,31.111333333333338,1,0.3793773435003555,0.002,3,0.1605450622249762,2
387,0.7961797714233398,78,1,1,250,250,1000,1,1,21,7006.239,22738.67,15732.431,0.0,22738.67,8874.139,20419.443,10.89426504609824,29293.582,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,31.111333333333338,1,0.3793773435003555,0.002,3,0.2515272431445858,2
393,0.4791085720062256,79,2,1,250,250,1000,1,1,12,7006.239,15693.125,8686.886,0.0,15693.125,6411.007,13959.873,7.952044616847999,20370.88,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,31.51536363636364,1,0.3793773435003555,0.002,3,-0.4122943221440829,2
395,0.47510766983032227,79,4,1,250,250,1000,1,1,12,7006.239,16718.157,9711.918,0.0,16718.157,7100.649,15912.213,12.962000489234924,23012.862,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,31.51536363636364,1,0.3793773435003555,0.002,3,-0.03227415509080639,2
396,0.4811086654663086,80,0,1,250,250,1000,1,1,12,7006.239,16259.695,9253.456,0.0,16259.695,6938.849,15167.723,14.966000437736511,22106.572,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,31.919393939393945,1,0.3793773435003555,0.002,3,-0.2653977721743631,2
