,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
2285,0.4785008430480957,115,4,2,250,250,1000,1,1,12,7006.239,35281.893,28275.654,0.0,35281.893,21858.383,16875.165,111.81224207845062,38733.548,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,0.10833746043673513
2282,0.7730939388275146,115,1,2,250,250,1000,1,1,20,7006.239,45508.364,38502.125,0.0,45508.364,22788.138,31738.7,123.84418573180679,54526.838,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,0.16675316421555772
2278,0.9593493938446045,114,17,2,250,250,1000,1,1,25,7006.239,49310.058,42303.819,0.0,49310.058,24414.272,51132.403,151.91613694996977,75546.675,0.6931471805599454%,58.0%,0%,0.0%,100.0%,0.6931471805599454%,46.4%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,-0.2322332368631801
2287,0.6311845779418945,115,6,2,250,250,1000,1,1,17,7006.239,44579.986,37573.747,0.0,44579.986,25288.249,25583.455,125.77240977509015,50871.704,0.6931471805599454%,46.4%,0%,0.0%,100.0%,0.6931471805599454%,45.2%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,0.3208241049168926
2284,0.8885579109191895,115,3,2,250,250,1000,1,1,23,7006.239,46817.079,39810.84,0.0,46817.079,21088.356,40367.984,119.7616900579207,61456.34,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,-0.27152648952342756
2286,0.688281774520874,115,5,2,250,250,1000,1,1,18,7006.239,52553.676,45547.437,0.0,52553.676,30163.527,29229.345,199.76054594150807,59392.872,0.6931471805599454%,48.0%,0%,0.0%,100.0%,0.6931471805599454%,45.2%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,-0.06736459888512698
2290,0.611403226852417,115,9,2,250,250,1000,1,1,16,7006.239,38372.502,31366.263,0.0,38372.502,22566.272,28965.114,185.89200139045715,51531.386,0.6931471805599454%,54.0%,0%,0.0%,100.0%,0.6931471805599454%,58.0%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,-0.29040650906648585
2291,0.5684480667114258,115,10,2,250,250,1000,1,1,14,7006.239,44402.163,37395.924,0.0,44402.163,27304.408,24191.5,77.75613905790442,51495.908,0.6931471805599454%,53.2%,0%,0.0%,100.0%,0.6931471805599454%,49.6%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,0.1693813153571001
2288,0.8505868911743164,115,7,2,250,250,1000,1,1,22,7006.239,48549.196,41542.957,0.0,48549.196,23537.027,42488.34,111.7962264286587,66025.367,0.6931471805599454%,48.8%,0%,0.0%,100.0%,0.6931471805599454%,46.8%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,-0.17544886596111736
2289,0.900698184967041,115,8,2,250,250,1000,1,1,23,7006.239,57286.651,50280.412,0.0,57286.651,32141.646,39343.732,177.80844982092475,71485.378,0.6931471805599454%,52.0%,0%,0.0%,100.0%,0.6931471805599454%,45.6%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,-0.4057290004444423
