,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
4545,0.19704437255859375,23,167,0.5,100,100,5000,1,1,13,1772.454,2428.334,655.88,0.0,2428.334,203.599,404.811,608.41,0.6931471805599453%,52.0%,0%,0.0%,100.0%,0.6931471805599453%,44.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.058615717779092885
4544,0.2560577392578125,23,166,0.5,100,100,5000,1,1,17,1772.454,2751.299,978.845,0.0,2751.299,208.483,576.218,784.701,0.6931471805599453%,47.0%,0%,0.0%,100.0%,0.6931471805599453%,46.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.24436593302689993
4548,0.20804858207702637,23,170,0.5,100,100,5000,1,1,13,1772.454,2313.593,541.139,0.0,2313.593,190.817,377.768,568.585,0.6931471805599453%,50.0%,0%,0.0%,100.0%,0.6931471805599453%,58.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.8654926044264053
4547,0.21504950523376465,23,169,0.5,100,100,5000,1,1,14,1772.454,2298.127,525.673,0.0,2298.127,183.64,404.886,588.526,0.6931471805599453%,45.0%,0%,0.0%,100.0%,0.6931471805599453%,47.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.6470684600031599
4546,0.28206372261047363,23,168,0.5,100,100,5000,1,1,19,1772.454,3098.678,1326.224,0.0,3098.678,226.061,675.188,901.249,0.6931471805599453%,52.0%,0%,0.0%,100.0%,0.6931471805599453%,43.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.20260763529729464
4552,0.16303634643554688,23,174,0.5,100,100,5000,1,1,10,1772.454,1863.456,91.002,0.0,1863.456,168.345,262.481,430.826,0.6931471805599453%,46.0%,0%,0.0%,100.0%,0.6931471805599453%,47.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.09908157872827145
4551,0.20404601097106934,23,173,0.5,100,100,5000,1,1,13,1772.454,2175.351,402.897,0.0,2175.351,179.378,372.21,551.588,0.6931471805599453%,58.0%,0%,0.0%,100.0%,0.6931471805599453%,48.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.08891688217556486
4550,0.2740616798400879,23,172,0.5,100,100,5000,1,1,19,1772.454,3096.079,1323.625,0.0,3096.079,230.827,690.909,921.736,0.6931471805599453%,47.0%,0%,0.0%,100.0%,0.6931471805599453%,48.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.5072604677560983
4549,0.2820625305175781,23,171,0.5,100,100,5000,1,1,20,1772.454,3135.177,1362.723,0.0,3135.177,231.392,736.368,967.76,0.6931471805599453%,47.0%,0%,0.0%,100.0%,0.6931471805599453%,49.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.4460916808160978
4554,0.16603851318359375,23,176,0.5,100,100,5000,1,1,11,1772.454,2071.804,299.35,0.0,2071.804,176.115,302.181,478.296,0.6931471805599453%,44.0%,0%,0.0%,100.0%,0.6931471805599453%,53.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.07060703009584104
4555,0.19004297256469727,23,177,0.5,100,100,5000,1,1,12,1772.454,2179.666,407.212,0.0,2179.666,185.602,351.804,537.406,0.6931471805599453%,41.0%,0%,0.0%,100.0%,0.6931471805599453%,52.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.22943295808551128
