,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory
757,0.6531467437744141,8,64,0.5,200,200,5000,1,1,20,5013.257,8485.922,3472.665,0.0,8485.922,1233.638,522.031,1755.669,0.6931471805599452%,51.0%,0%,0.0%,100.0%,0.6931471805599452%,43.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
765,0.340076208114624,8,72,0.5,200,200,5000,1,1,10,5013.257,5675.044,661.787,0.0,5675.044,929.198,266.75,1195.948,0.6931471805599452%,46.0%,0%,0.0%,100.0%,0.6931471805599452%,54.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
760,0.607135534286499,8,67,0.5,200,200,5000,1,1,18,5013.257,7622.389,2609.132,0.0,7622.389,1078.276,428.34,1506.616,0.6931471805599452%,48.0%,0%,0.0%,100.0%,0.6931471805599452%,56.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
764,0.4651045799255371,8,71,0.5,200,200,5000,1,1,14,5013.257,6835.214,1821.957,0.0,6835.214,1068.157,352.868,1421.025,0.6931471805599452%,55.5%,0%,0.0%,100.0%,0.6931471805599452%,47.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
761,0.6351428031921387,8,68,0.5,200,200,5000,1,1,20,5013.257,9005.829,3992.572,0.0,9005.829,1424.953,465.283,1890.236,0.6931471805599452%,51.5%,0%,0.0%,100.0%,0.6931471805599452%,52.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
763,0.591132402420044,8,70,0.5,200,200,5000,1,1,18,5013.257,9049.847,4036.59,0.0,9049.847,1367.072,476.633,1843.705,0.6931471805599452%,57.0%,0%,0.0%,100.0%,0.6931471805599452%,54.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
766,0.4591028690338135,8,73,0.5,200,200,5000,1,1,13,5013.257,6688.39,1675.133,0.0,6688.39,1050.839,333.256,1384.095,0.6931471805599452%,53.0%,0%,0.0%,100.0%,0.6931471805599452%,45.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
762,0.7201616764068604,8,69,0.5,200,200,5000,1,1,22,5013.257,9384.449,4371.192,0.0,9384.449,1438.704,564.769,2003.473,0.6931471805599452%,51.0%,0%,0.0%,100.0%,0.6931471805599452%,55.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
767,0.4611034393310547,8,74,0.5,200,200,5000,1,1,14,5013.257,7722.493,2709.236,0.0,7722.493,1195.061,376.024,1571.085,0.6931471805599452%,47.5%,0%,0.0%,100.0%,0.6931471805599452%,51.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
768,0.5861313343048096,8,75,0.5,200,200,5000,1,1,18,5013.257,7833.872,2820.615,0.0,7833.872,1064.563,470.656,1535.219,0.6931471805599452%,46.0%,0%,0.0%,100.0%,0.6931471805599452%,51.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
769,0.5561249256134033,8,76,0.5,200,200,5000,1,1,17,5013.257,7595.875,2582.618,0.0,7595.875,1130.429,429.787,1560.216,0.6931471805599452%,51.5%,0%,0.0%,100.0%,0.6931471805599452%,48.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
773,0.5271174907684326,8,80,0.5,200,200,5000,1,1,16,5013.257,7827.034,2813.777,0.0,7827.034,1223.118,420.941,1644.059,0.6931471805599452%,52.0%,0%,0.0%,100.0%,0.6931471805599452%,48.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
