,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated:  efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity
693,1.7064471244812012,139,2,0.1,586,1000,10000,1,1,6,17781.646,299.566,-17482.08,292.5,87623.1,87330.6,3843.0,321982.9,325825.9,0.8286200492929668%,48.464%,48.464%,100.0%,0.0%,0.8422719264260726%,47.099%,47.099%,100.0%,0.0%
689,3.095379590988159,138,3,0.1,582,1000,10000,1,1,18,17550.245,19762.84,2212.595,5.0,98814.2,98809.2,7029.0,794170.65,801199.65,0.8235709658687382%,48.969%,48.969%,100.0%,0.0%,0.8596534400955425%,45.361%,45.361%,100.0%,0.0%
685,4.3597941398620605,137,4,0.1,578,1000,10000,1,1,30,17320.766,120.593,-17200.173,847.2,102166.0,101318.8,8934.0,1322660.9,1331594.9,0.8149917913244511%,49.827%,49.827%,100.0%,0.0%,0.8184519989369079%,49.481%,49.481%,100.0%,0.0%
696,1.6586024761199951,140,0,0.1,590,1000,10000,1,1,6,18014.982,82.174,-17932.808,1202.2,98789.2,97587.0,4846.0,318337.9,323183.9,0.7997023654843245%,51.356%,51.356%,100.0%,0.0%,0.7708888061622906%,54.237%,54.237%,100.0%,0.0%
694,2.229604721069336,139,3,0.1,586,1000,10000,1,1,11,17781.646,229.614,-17552.032,424.0,97356.2,96932.2,5701.0,513137.4,518838.4,0.8064357489516699%,50.683%,50.683%,100.0%,0.0%,0.8388589571427961%,47.44%,47.44%,100.0%,0.0%
695,1.9543895721435547,139,4,0.1,586,1000,10000,1,1,7,17781.646,97.842,-17683.804,993.4,97196.0,96202.6,4994.0,363010.75,368004.75,0.799609810385117%,51.365%,51.365%,100.0%,0.0%,0.8252070800096903%,48.805%,48.805%,100.0%,0.0%
698,1.8241996765136719,140,2,0.1,590,1000,10000,1,1,8,18014.982,80.158,-17934.824,1296.3,103909.3,102613.0,5377.0,400899.0,406276.0,0.8166515180266973%,49.661%,49.661%,100.0%,0.0%,0.8369905010775448%,47.627%,47.627%,100.0%,0.0%
700,1.738461971282959,140,4,0.1,590,1000,10000,1,1,7,18014.982,65.527,-17949.455,1607.5,105334.7,103727.2,4814.0,389286.85,394100.85,0.8013972807385618%,51.186%,51.186%,100.0%,0.0%,0.7912277892131381%,52.203%,52.203%,100.0%,0.0%
701,1.6450200080871582,141,0,0.1,594,1000,10000,1,1,7,18250.27,83.898,-18166.372,1188.7,99729.3,98540.6,4791.0,359917.5,364708.5,0.8216791959357312%,49.158%,49.158%,100.0%,0.0%,0.8317802060367413%,48.148%,48.148%,100.0%,0.0%
702,1.7974114418029785,141,1,0.1,594,1000,10000,1,1,7,18250.27,177.269,-18073.001,543.9,96416.7,95872.8,4488.0,368214.1,372702.1,0.8216791959357312%,49.158%,49.158%,100.0%,0.0%,0.8183121925687278%,49.495%,49.495%,100.0%,0.0%
699,2.4461920261383057,140,3,0.1,590,1000,10000,1,1,12,18014.982,40.177,-17974.805,2445.9,98268.5,95822.6,5679.0,569814.0,575493.0,0.8064820265012737%,50.678%,50.678%,100.0%,0.0%,0.8454650773487312%,46.78%,46.78%,100.0%,0.0%
697,2.770409107208252,140,1,0.1,590,1000,10000,1,1,14,18014.982,82.217,-17932.765,1318.0,108361.8,107043.8,6229.0,687872.6,694101.6,0.7929227044673753%,52.034%,52.034%,100.0%,0.0%,0.8149566027724601%,49.831%,49.831%,100.0%,0.0%
