,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory
911,1.714386224746704,92,0,0.8,400,400,3000,1,1,23,14179.631,28726.282,14546.651,2435.2,31161.482,28726.282,699.46,5567.77,6267.23,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,0.7857616875182228%,52.75%,52.75%,100.0%,0.0%,zeros,local-global,36.76775757575758,0.1
910,1.8994276523590088,91,9,0.8,400,400,3000,1,1,26,14179.631,33518.511,19338.88,2428.8,35947.311,33518.511,705.919,7296.97,8002.889,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%,0.7907616875182228%,52.25%,52.25%,100.0%,0.0%,zeros,local-global,36.363727272727274,0.1
914,1.115251064300537,92,3,0.8,400,400,3000,1,1,14,14179.631,25192.861,11013.23,2352.0,27544.861,25192.861,587.317,4552.163,5139.48,0.7807616875182228%,53.25%,53.25%,100.0%,0.0%,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,zeros,local-global,36.76775757575758,0.1
916,1.1162514686584473,92,5,0.8,400,400,3000,1,1,14,14179.631,26294.159,12114.528,2259.2,28553.359,26294.159,777.419,3744.092,4521.511,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7957616875182228%,51.75%,51.75%,100.0%,0.0%,zeros,local-global,36.76775757575758,0.1
913,1.7333903312683105,92,2,0.8,400,400,3000,1,1,25,14179.631,31242.099,17062.468,2393.6,33635.699,31242.099,738.49,6612.137,7350.627,0.7907616875182228%,52.25%,52.25%,100.0%,0.0%,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,zeros,local-global,36.76775757575758,0.1
915,1.4183197021484375,92,4,0.8,400,400,3000,1,1,19,14179.631,24401.601,10221.97,2404.8,26806.401,24401.601,770.477,4014.863,4785.34,0.7782616875182228%,53.5%,53.5%,100.0%,0.0%,0.8182616875182228%,49.5%,49.5%,100.0%,0.0%,zeros,local-global,36.76775757575758,0.1
918,1.2152740955352783,92,7,0.8,400,400,3000,1,1,16,14179.631,29598.976,15419.345,2331.2,31930.176,29598.976,1124.603,3223.762,4348.365,0.8057616875182227%,50.75%,50.75%,100.0%,0.0%,0.7882616875182228%,52.5%,52.5%,100.0%,0.0%,zeros,local-global,36.76775757575758,0.1
919,1.3603062629699707,92,8,0.8,400,400,3000,1,1,18,14179.631,27858.152,13678.521,2316.8,30174.952,27858.152,664.218,5562.194,6226.412,0.8107616875182228%,50.25%,50.25%,100.0%,0.0%,0.8082616875182228%,50.5%,50.5%,100.0%,0.0%,zeros,local-global,36.76775757575758,0.1
917,1.9964492321014404,92,6,0.8,400,400,3000,1,1,28,14179.631,33516.633,19337.002,2352.0,35868.633,33516.633,728.22,7591.719,8319.939,0.7882616875182228%,52.5%,52.5%,100.0%,0.0%,0.8032616875182228%,51.0%,51.0%,100.0%,0.0%,zeros,local-global,36.76775757575758,0.1
922,1.2232754230499268,93,1,0.8,400,400,3000,1,1,16,14179.631,26453.274,12273.643,2436.8,28890.074,26453.274,689.527,4695.031,5384.558,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.8057616875182227%,50.75%,50.75%,100.0%,0.0%,zeros,local-global,37.17178787878788,0.1
924,1.101248025894165,93,3,0.8,400,400,3000,1,1,14,14179.631,25192.861,11013.23,2352.0,27544.861,25192.861,587.317,4552.163,5139.48,0.7807616875182228%,53.25%,53.25%,100.0%,0.0%,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,zeros,local-global,37.17178787878788,0.1
921,1.701383352279663,93,0,0.8,400,400,3000,1,1,23,14179.631,28726.282,14546.651,2435.2,31161.482,28726.282,699.46,5567.77,6267.23,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,0.7857616875182228%,52.75%,52.75%,100.0%,0.0%,zeros,local-global,37.17178787878788,0.1
926,1.1152513027191162,93,5,0.8,400,400,3000,1,1,14,14179.631,26294.159,12114.528,2259.2,28553.359,26294.159,777.419,3744.092,4521.511,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7957616875182228%,51.75%,51.75%,100.0%,0.0%,zeros,local-global,37.17178787878788,0.1
925,1.464329481124878,93,4,0.8,400,400,3000,1,1,19,14179.631,24401.601,10221.97,2404.8,26806.401,24401.601,770.477,4014.863,4785.34,0.7782616875182228%,53.5%,53.5%,100.0%,0.0%,0.8182616875182228%,49.5%,49.5%,100.0%,0.0%,zeros,local-global,37.17178787878788,0.1
923,1.8274116516113281,93,2,0.8,400,400,3000,1,1,25,14179.631,31242.099,17062.468,2393.6,33635.699,31242.099,738.49,6612.137,7350.627,0.7907616875182228%,52.25%,52.25%,100.0%,0.0%,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,zeros,local-global,37.17178787878788,0.1
928,1.2432801723480225,93,7,0.8,400,400,3000,1,1,16,14179.631,29598.976,15419.345,2331.2,31930.176,29598.976,1124.603,3223.762,4348.365,0.8057616875182227%,50.75%,50.75%,100.0%,0.0%,0.7882616875182228%,52.5%,52.5%,100.0%,0.0%,zeros,local-global,37.17178787878788,0.1
920,2.5205676555633545,92,9,0.8,400,400,3000,1,1,36,14179.631,38062.893,23883.262,2428.8,40491.693,38062.893,709.689,10401.66,11111.349,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%,0.7907616875182228%,52.25%,52.25%,100.0%,0.0%,zeros,local-global,36.76775757575758,0.1
929,1.3633067607879639,93,8,0.8,400,400,3000,1,1,18,14179.631,27858.152,13678.521,2316.8,30174.952,27858.152,664.218,5562.194,6226.412,0.8107616875182228%,50.25%,50.25%,100.0%,0.0%,0.8082616875182228%,50.5%,50.5%,100.0%,0.0%,zeros,local-global,37.17178787878788,0.1
927,1.9884474277496338,93,6,0.8,400,400,3000,1,1,28,14179.631,33516.633,19337.002,2352.0,35868.633,33516.633,728.22,7591.719,8319.939,0.7882616875182228%,52.5%,52.5%,100.0%,0.0%,0.8032616875182228%,51.0%,51.0%,100.0%,0.0%,zeros,local-global,37.17178787878788,0.1
933,1.2352776527404785,94,2,0.8,400,400,3000,1,1,16,14179.631,25840.153,11660.522,2393.6,28233.753,25840.153,741.72,4269.402,5011.122,0.7907616875182228%,52.25%,52.25%,100.0%,0.0%,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,zeros,local-global,37.575818181818185,0.1
934,1.3933136463165283,94,3,0.8,400,400,3000,1,1,18,14179.631,26865.935,12686.304,2352.0,29217.935,26865.935,587.073,5831.665,6418.738,0.7807616875182228%,53.25%,53.25%,100.0%,0.0%,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,zeros,local-global,37.575818181818185,0.1
931,1.7333903312683105,94,0,0.8,400,400,3000,1,1,23,14179.631,28731.907,14552.276,2435.2,31167.107,28731.907,700.445,5570.913,6271.358,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,0.7857616875182228%,52.75%,52.75%,100.0%,0.0%,zeros,local-global,37.575818181818185,0.1
932,1.7673981189727783,94,1,0.8,400,400,3000,1,1,24,14179.631,31706.32,17526.689,2436.8,34143.12,31706.32,683.574,7353.31,8036.884,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.8057616875182227%,50.75%,50.75%,100.0%,0.0%,zeros,local-global,37.575818181818185,0.1
936,1.0952465534210205,94,5,0.8,400,400,3000,1,1,14,14179.631,26275.84,12096.209,2259.2,28535.04,26275.84,778.432,3727.251,4505.683,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7957616875182228%,51.75%,51.75%,100.0%,0.0%,zeros,local-global,37.575818181818185,0.1
935,1.499337911605835,94,4,0.8,400,400,3000,1,1,19,14179.631,25598.027,11418.396,2404.8,28002.827,25598.027,767.657,4044.876,4812.533,0.7782616875182228%,53.5%,53.5%,100.0%,0.0%,0.8182616875182228%,49.5%,49.5%,100.0%,0.0%,zeros,local-global,37.575818181818185,0.1
930,2.550574541091919,93,9,0.8,400,400,3000,1,1,36,14179.631,38062.893,23883.262,2428.8,40491.693,38062.893,709.689,10401.66,11111.349,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%,0.7907616875182228%,52.25%,52.25%,100.0%,0.0%,zeros,local-global,37.17178787878788,0.1
938,1.2872898578643799,94,7,0.8,400,400,3000,1,1,16,14179.631,29523.235,15343.604,2331.2,31854.435,29523.235,1112.693,3208.371,4321.064,0.8057616875182227%,50.75%,50.75%,100.0%,0.0%,0.7882616875182228%,52.5%,52.5%,100.0%,0.0%,zeros,local-global,37.575818181818185,0.1
937,1.74739408493042,94,6,0.8,400,400,3000,1,1,22,14179.631,29726.326,15546.695,2352.0,32078.326,29726.326,722.886,5885.05,6607.936,0.7882616875182228%,52.5%,52.5%,100.0%,0.0%,0.8032616875182228%,51.0%,51.0%,100.0%,0.0%,zeros,local-global,37.575818181818185,0.1
939,1.5333449840545654,94,8,0.8,400,400,3000,1,1,20,14179.631,29315.725,15136.094,2316.8,31632.525,29315.725,661.076,6237.096,6898.172,0.8107616875182228%,50.25%,50.25%,100.0%,0.0%,0.8082616875182228%,50.5%,50.5%,100.0%,0.0%,zeros,local-global,37.575818181818185,0.1
943,1.2482819557189941,95,2,0.8,400,400,3000,1,1,16,14179.631,25840.153,11660.522,2393.6,28233.753,25840.153,741.72,4269.402,5011.122,0.7907616875182228%,52.25%,52.25%,100.0%,0.0%,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,zeros,local-global,37.97984848484849,0.1
940,1.5103402137756348,94,9,0.8,400,400,3000,1,1,20,14179.631,29764.269,15584.638,2428.8,32193.069,29764.269,710.754,5476.853,6187.607,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%,0.7907616875182228%,52.25%,52.25%,100.0%,0.0%,zeros,local-global,37.575818181818185,0.1
944,1.3333001136779785,95,3,0.8,400,400,3000,1,1,18,14179.631,26865.935,12686.304,2352.0,29217.935,26865.935,587.073,5831.665,6418.738,0.7807616875182228%,53.25%,53.25%,100.0%,0.0%,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,zeros,local-global,37.97984848484849,0.1
